Asset Tag,Item,Category,Serial No.,Model No.,Status,Assigned To (Holder),Team / Location,Date Received,Date Assigned,Date Returned,Condition,Unit Value (INR),Tax (INR),Total (INR),Notes
IT-0007,Insta 360 ONE X2,Camera,,,Unassigned,,Perception Table,,,,,25415.00,4574.70,29989.70,
IT-0008,Intel RealSense Depth Camera D435i,Camera,243222072442,D435i,Unassigned,,Perception Table,,,,,33500.00,6030.00,39530.00,
IT-0009,Nvidia Jetson Agx Orin,Compute,,,In Use,Raj,Perception Table,,,,,173600.00,31248.00,204848.00,
TL-0001,Stanley 5m Measuring Tape,Tool,,,In Use,Anand,Mechanical Table,,,,,,0.00,0.00,
TL-0002,Stanley 5m Measuring Tape,Tool,,,In Use,Anand,Mechanical Table,,,,,,0.00,0.00,
TL-0003,Stanley 5m Measuring Tape,Tool,,,In Use,Anand,Deployment Table,,,,,,0.00,0.00,
TL-0004,Stanley 5m Measuring Tape,Tool,,,In Use,Anand,Deployment Table,,,,,,0.00,0.00,
DV-0001,Teensy Board 4.1,Development,,,In Storage,,Teensy Board Compartment,,,,,2281.00,410.58,2691.58,
DV-0002,Teensy Board 4.1,Development,,,In Storage,,Teensy Board Compartment,,,,,2281.00,410.58,2691.58,
DV-0003,Teensy Board 4.1,Development,,,In Storage,,Teensy Board Compartment,,,,,2281.00,410.58,2691.58,
DV-0004,Teensy Board 4.1,Development,,,In Storage,,Teensy Board Compartment,,,,,2281.00,410.58,2691.58,
DV-0005,Teensy Board 4.1,Development,,,In Storage,,Teensy Board Compartment,,,,,2281.00,410.58,2691.58,
DV-0006,Teensy Board 4.1,Development,,,In Storage,,Teensy Board Compartment,,,,,2281.00,410.58,2691.58,
DV-0007,Teensy Board 4.1,Development,,,In Storage,,Teensy Board Compartment,,,,,2281.00,410.58,2691.58,
DV-0008,Teensy Board 4.1,Development,,,In Storage,,Teensy Board Compartment,,,,,2281.00,410.58,2691.58,
DV-0009,Teensy Board 4.1,Development,,,In Storage,,Teensy Board Compartment,,,,,2281.00,410.58,2691.58,
DV-0010,Teensy Board 4.1,Development,,,In Storage,,Teensy Board Compartment,,,,,2281.00,410.58,2691.58,
DV-0011,Waveshare USB to CAN Adapter Dual-Channel CAN Analyzer,Development,22773,,Unassigned,,US Box,,,,,,0.00,0.00,
DV-0012,Waveshare Isolated USB To 4-Ch RS232 Converter,Development,27022,,Unassigned,,US Box,,,,,2939.00,529.02,3468.02,
DV-0013,Waveshare Isolated USB To 4-Ch RS232 Converter,Development,27022,,Unassigned,,US Box,,,,,2939.00,529.02,3468.02,
TL-0006,Freemans WS05 Wire Stripper and Cutter,Tool,,,Available,,Embedded Table,,,,,,0.00,0.00,
TL-0007,Freemans WS05 Wire Stripper and Cutter,Tool,,,Available,,Embedded Table,,,,,,0.00,0.00,
TL-0008,Freemans WS05 Wire Stripper and Cutter,Tool,,,Available,,Embedded Table,,,,,,0.00,0.00,
IT-0091,Mini DisplayPort to UHD HDMI Active Cable Adapter,Adapter,CP879A,P137-06N-HDMI,Unassigned,,,,,,,,0.00,0.00,
TL-0009,AGARO Regal 800W Handheld Vacuum Cleaner,Tool,RE250626719,Regal,Deployed,Embedded,Mechanical,,,,,1699.00,305.82,2004.82,"Allocated to a system/setup, not a person"
DV-0014,Robosense Airy 96 beam,Development,3009BEA00221,Airy,In Use,Kathan,Embedded,,,,,110000.00,19800.00,129800.00,
DV-0015,Robosense Airy 96 beam,Development,3009BEAE1413,Airy,In Use,Kathan,Embedded,,,,,110000.00,19800.00,129800.00,
DV-0016,Mounting Bracket,Development,526064,MS4-WR,Deployed,Robot,Tool System V2,,,,,135.00,24.30,159.30,"Allocated to a system/setup, not a person"
DV-0017,Pressure Regulator,Development,529419,MS4-LR-1/4-D7-AS,Deployed,Robot,Tool System V2,,,,,1713.00,308.34,2021.34,"Allocated to a system/setup, not a person"
DV-0018,Standard Based Cylinder,Development,35193,DSNU-25-400-PPV-A,Deployed,Robot,Tool System V2,,,,,2600.00,468.00,3068.00,"Allocated to a system/setup, not a person"
DV-0019,Standard Based Cylinder,Development,,,Deployed,Robot,Tool System V2,,,,,2600.00,468.00,3068.00,"Allocated to a system/setup, not a person"
DV-0020,Standard Based Cylinder,Development,,,Deployed,Robot,Tool System V2,,,,,2600.00,468.00,3068.00,"Allocated to a system/setup, not a person"
DV-0021,Standard Based Cylinder,Development,,,Deployed,Robot,Tool System V2,,,,,2600.00,468.00,3068.00,"Allocated to a system/setup, not a person"
TL-0010,Insize Digital Vernier Caliper,Tool,1401255976,1112-150,In Use,Anand,Mechanical Lab,,,,,2195.00,395.10,2590.10,
TL-0011,BTALI Air Compressor BT 9 OFAC,Tool,BT0010122024,,In Use,Sankalp,V2,,,,,6650.00,1197.00,7847.00,
